,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
23,8091400200.0,14.0,2,1.5,1070,9643,1.0,0,0.0,3.0,7.0,1070.0,0.0,85.0,85.0,98030.0,47.3533,-122.166,1220.0,8386.0
24,3814700200.0,14.0,3,2.25,2450,6500,2.0,0,0.0,4.0,8.0,2450.0,0.0,85.0,85.0,98030.0,47.3739,-122.172,2200.0,6865.0
25,1202000200.0,14.0,3,2.0,1710,4697,1.5,0,0.0,5.0,6.0,1710.0,0.0,41.0,41.0,98002.0,47.3048,-122.218,1030.0,4705.0
26,1794500383.0,14.0,3,1.75,2450,2691,2.0,0,0.0,3.0,8.0,1750.0,700.0,15.0,15.0,98119.0,47.6386,-122.36,1760.0,3573.0
27,3303700376.0,14.0,3,1.0,1400,1581,1.5,0,0.0,5.0,8.0,1400.0,0.0,9.0,9.0,98112.0,47.6221,-122.314,1860.0,3861.0
28,5101402488.0,14.0,3,1.75,1520,6380,1.0,0,0.0,3.0,7.0,790.0,730.0,48.0,48.0,98115.0,47.695,-122.304,1520.0,6235.0
29,1873100390.0,15.0,4,2.5,2570,7173,2.0,0,0.0,3.0,8.0,2570.0,0.0,105.0,105.0,98052.0,47.7073,-122.11,2630.0,6026.0
30,8562750320.0,14.0,3,2.5,2320,3980,2.0,0,0.0,3.0,8.0,2320.0,0.0,103.0,103.0,98027.0,47.5391,-122.07,2580.0,3980.0
31,2426039314.0,14.0,2,1.5,1190,1265,3.0,0,0.0,3.0,7.0,1190.0,0.0,105.0,105.0,98133.0,47.7274,-122.357,1390.0,1756.0
32,461000390.0,14.0,4,1.75,2330,5000,1.5,0,0.0,4.0,7.0,1510.0,820.0,29.0,29.0,98117.0,47.6823,-122.368,1460.0,5000.0
33,7589200193.0,14.0,3,1.0,1090,3000,1.5,0,0.0,4.0,8.0,1090.0,0.0,29.0,29.0,98117.0,47.6889,-122.375,1570.0,5080.0
34,7955080270.0,14.0,4,2.75,2060,6659,1.0,0,0.0,3.0,7.0,1280.0,780.0,81.0,81.0,98058.0,47.4276,-122.157,2020.0,8720.0
35,9547205180.0,14.0,3,2.5,2300,3060,1.5,0,0.0,3.0,8.0,1510.0,790.0,30.0,102.0,98115.0,47.6827,-122.31,1590.0,3264.0
36,9435300030.0,14.0,4,1.0,1660,34848,1.0,0,0.0,1.0,5.0,930.0,730.0,33.0,33.0,98052.0,47.6621,-122.132,2160.0,11467.0
37,2768000400.0,14.0,4,2.0,2360,6000,2.0,0,0.0,4.0,8.0,2360.0,0.0,4.0,4.0,98107.0,47.6702,-122.362,1730.0,4700.0
38,7895500070.0,15.0,4,1.0,1220,8075,1.0,0,0.0,2.0,7.0,890.0,330.0,69.0,69.0,98001.0,47.3341,-122.282,1290.0,7800.0
39,2078500320.0,14.0,4,2.5,2620,7553,2.0,0,0.0,3.0,8.0,2620.0,0.0,96.0,96.0,98056.0,47.5301,-122.18,2620.0,11884.0
40,5547700270.0,14.0,4,2.5,2570,5520,2.0,0,0.0,3.0,9.0,2570.0,0.0,100.0,100.0,98074.0,47.6145,-122.027,2470.0,5669.0
42,7203220400.0,14.0,5,2.75,3595,5639,2.0,0,0.0,3.0,9.0,3595.0,0.0,114.0,114.0,98053.0,47.6848,-122.016,3625.0,5639.0
43,9270200160.0,14.0,3,1.0,1570,2280,2.0,0,0.0,3.0,7.0,1570.0,0.0,22.0,22.0,98119.0,47.6413,-122.364,1580.0,2640.0
44,1432701230.0,14.0,3,1.0,1280,9656,1.0,0,0.0,4.0,6.0,920.0,360.0,59.0,59.0,98058.0,47.4485,-122.175,1340.0,8808.0
45,8035350320.0,14.0,3,2.5,3160,13603,2.0,0,0.0,3.0,8.0,3160.0,0.0,103.0,103.0,98019.0,47.7443,-121.977,3050.0,9232.0
46,8945200830.0,15.0,3,1.0,990,8528,1.0,0,0.0,3.0,6.0,990.0,0.0,66.0,66.0,98023.0,47.3066,-122.371,1228.0,8840.0
47,4178300310.0,14.0,4,2.5,2290,13416,2.0,0,0.0,4.0,9.0,2290.0,0.0,81.0,81.0,98007.0,47.6194,-122.151,2680.0,13685.0
48,9215400105.0,15.0,3,1.75,1250,5963,1.0,0,0.0,4.0,7.0,1250.0,0.0,53.0,53.0,98115.0,47.6796,-122.301,970.0,5100.0
50,5245600105.0,14.0,3,1.0,1190,9199,1.0,0,0.0,3.0,7.0,1190.0,0.0,55.0,55.0,98148.0,47.4258,-122.322,1190.0,9364.0
52,7518505990.0,14.0,3,1.75,1410,4080,1.0,0,0.0,4.0,7.0,1000.0,410.0,50.0,50.0,98117.0,47.6808,-122.384,1410.0,4080.0
53,3626039271.0,15.0,2,1.75,1980,8550,1.0,0,0.0,3.0,7.0,990.0,990.0,81.0,81.0,98117.0,47.6989,-122.369,1480.0,6738.0
54,4217401195.0,15.0,5,2.25,2730,6000,1.5,0,0.0,3.0,8.0,2130.0,600.0,27.0,27.0,98105.0,47.6571,-122.281,2730.0,6000.0
55,9822700295.0,14.0,4,2.5,2830,5000,2.0,0,0.0,3.0,9.0,2830.0,0.0,95.0,95.0,98105.0,47.6597,-122.29,1950.0,5000.0
56,9478500640.0,14.0,4,2.5,2250,4495,2.0,0,0.0,3.0,7.0,2250.0,0.0,108.0,108.0,98042.0,47.3663,-122.114,2250.0,4500.0
57,2799800710.0,15.0,3,2.5,2420,4750,2.0,0,0.0,3.0,8.0,2420.0,0.0,103.0,103.0,98042.0,47.3663,-122.122,2690.0,4750.0
59,8079040320.0,15.0,4,3.0,1850,9976,2.0,0,0.0,3.0,8.0,1850.0,0.0,91.0,91.0,98059.0,47.5059,-122.149,2270.0,8542.0
61,9558200045.0,14.0,3,1.75,1260,8400,1.0,0,0.0,3.0,7.0,1260.0,0.0,54.0,54.0,98148.0,47.4366,-122.335,1290.0,8750.0
62,5072410070.0,14.0,3,1.75,2519,8690,2.0,0,0.0,5.0,8.0,2519.0,0.0,73.0,73.0,98166.0,47.4428,-122.344,2500.0,9500.0
63,9528102996.0,14.0,3,1.75,1540,1044,3.0,0,0.0,3.0,8.0,1540.0,0.0,114.0,114.0,98115.0,47.6765,-122.32,1580.0,3090.0
64,1189001180.0,14.0,3,2.25,1660,6000,1.0,0,0.0,3.0,7.0,1110.0,550.0,79.0,79.0,98122.0,47.6113,-122.297,1440.0,4080.0
65,3253500160.0,14.0,3,2.75,2770,3809,1.5,0,0.0,5.0,7.0,1770.0,1000.0,25.0,25.0,98144.0,47.5747,-122.304,1440.0,4000.0
66,3394100030.0,14.0,4,2.5,2720,11049,2.0,0,0.0,3.0,10.0,2720.0,0.0,89.0,89.0,98004.0,47.5815,-122.192,2750.0,11049.0
67,3717000160.0,14.0,4,2.5,2240,4648,2.0,0,0.0,3.0,7.0,2240.0,0.0,105.0,105.0,98001.0,47.3378,-122.257,2221.0,4557.0
68,1274500060.0,14.0,3,1.0,1000,12070,1.0,0,0.0,4.0,7.0,1000.0,0.0,68.0,68.0,98042.0,47.3621,-122.11,1010.0,12635.0
71,1049000060.0,15.0,3,2.0,1260,5612,1.0,0,0.0,4.0,7.0,1260.0,0.0,72.0,72.0,98034.0,47.7362,-122.179,1640.0,4745.0
72,8820901275.0,14.0,4,2.0,2750,7807,1.5,0,0.0,5.0,7.0,2250.0,500.0,16.0,16.0,98125.0,47.7168,-122.287,1510.0,7807.0
73,5416510140.0,14.0,4,2.5,2380,5000,2.0,0,0.0,3.0,8.0,2380.0,0.0,105.0,105.0,98038.0,47.3608,-122.036,2420.0,5000.0
75,3276920270.0,14.0,4,4.0,3430,35102,2.0,0,0.0,4.0,10.0,2390.0,1040.0,86.0,86.0,98075.0,47.5822,-121.987,3240.0,35020.0
76,4036801170.0,14.0,4,1.75,1760,7300,1.0,0,0.0,3.0,7.0,880.0,880.0,56.0,56.0,98008.0,47.6034,-122.125,1680.0,7500.0
77,2391600320.0,15.0,3,1.0,1040,5060,1.0,0,0.0,3.0,7.0,1040.0,0.0,41.0,41.0,98116.0,47.5636,-122.394,890.0,5060.0
78,6300000287.0,14.0,3,1.0,1410,5060,1.0,0,0.0,4.0,7.0,910.0,500.0,56.0,56.0,98133.0,47.7073,-122.34,1130.0,5693.0
79,1531000030.0,15.0,4,2.5,3450,39683,2.0,0,0.0,3.0,10.0,3450.0,0.0,102.0,102.0,98010.0,47.342,-122.025,3350.0,39750.0
80,5104520400.0,14.0,3,2.5,2350,5100,2.0,0,0.0,3.0,8.0,2350.0,0.0,103.0,103.0,98038.0,47.3512,-122.008,2350.0,5363.0
81,7437100340.0,14.0,4,2.5,1900,5889,2.0,0,0.0,3.0,7.0,1900.0,0.0,92.0,92.0,98038.0,47.349,-122.031,1870.0,6405.0
82,9418400240.0,14.0,2,1.0,2020,6720,1.0,0,0.0,3.0,7.0,1010.0,1010.0,48.0,48.0,98118.0,47.5474,-122.291,1720.0,6720.0
83,1523059105.0,15.0,3,1.5,1680,8712,1.0,0,0.0,3.0,8.0,1680.0,0.0,64.0,64.0,98059.0,47.4811,-122.149,1850.0,8797.0
84,1133000671.0,14.0,3,1.0,960,6634,1.0,0,0.0,3.0,6.0,960.0,0.0,52.0,52.0,98125.0,47.7264,-122.31,1570.0,7203.0
85,4232902595.0,14.0,3,1.5,2140,3600,2.0,0,0.0,3.0,9.0,1900.0,240.0,25.0,25.0,98119.0,47.6337,-122.365,2020.0,4800.0
86,2599001200.0,14.0,5,2.25,2660,8400,1.5,0,0.0,5.0,7.0,2660.0,0.0,61.0,61.0,98092.0,47.2909,-122.189,1590.0,8165.0
87,3342103156.0,14.0,3,3.25,2770,6278,2.0,0,0.0,3.0,9.0,1980.0,790.0,106.0,106.0,98056.0,47.5228,-122.199,1900.0,7349.0
88,1332700270.0,14.0,2,2.25,1610,2040,2.0,0,0.0,4.0,7.0,1610.0,0.0,79.0,79.0,98056.0,47.518,-122.194,1950.0,2025.0
89,3869900162.0,14.0,2,1.75,1030,1066,2.0,0,0.0,3.0,7.0,765.0,265.0,106.0,106.0,98136.0,47.5394,-122.387,1030.0,1106.0
90,2791500270.0,14.0,4,2.5,1980,7403,2.0,0,0.0,3.0,7.0,1980.0,0.0,88.0,88.0,98023.0,47.2897,-122.372,1980.0,7510.0
91,5036300431.0,15.0,5,2.75,3520,6353,2.0,0,0.0,4.0,10.0,3520.0,0.0,101.0,101.0,98199.0,47.6506,-122.391,2520.0,6250.0
92,4168000060.0,15.0,3,1.0,1200,10500,1.0,0,0.0,3.0,7.0,1200.0,0.0,62.0,62.0,98023.0,47.322,-122.351,1350.0,10500.0
93,6021501535.0,14.0,3,1.5,1580,5000,1.0,0,0.0,3.0,8.0,1290.0,290.0,39.0,39.0,98117.0,47.687,-122.386,1570.0,4500.0
94,6021501535.0,14.0,3,1.5,1580,5000,1.0,0,0.0,3.0,8.0,1290.0,290.0,39.0,39.0,98117.0,47.687,-122.386,1570.0,4500.0
95,1483300570.0,14.0,4,2.5,3300,10250,1.0,0,0.0,3.0,7.0,2390.0,910.0,46.0,91.0,98040.0,47.5873,-122.249,1950.0,6045.0
96,3422049190.0,15.0,3,1.75,1960,15681,1.0,0,0.0,3.0,7.0,1960.0,0.0,67.0,67.0,98032.0,47.3576,-122.277,1750.0,15616.0
97,1099611230.0,14.0,4,1.5,1160,6400,1.0,0,0.0,4.0,7.0,1160.0,0.0,75.0,75.0,98023.0,47.3036,-122.378,1160.0,6400.0
100,1952200240.0,14.0,3,2.5,2070,13241,1.5,0,0.0,5.0,9.0,1270.0,800.0,10.0,10.0,98102.0,47.6415,-122.315,2200.0,4500.0
101,5200100125.0,14.0,3,2.0,1980,3478,1.5,0,0.0,4.0,7.0,1440.0,540.0,29.0,29.0,98117.0,47.6775,-122.372,1610.0,3478.0
103,2450000295.0,14.0,3,2.5,2920,8113,2.0,0,0.0,3.0,8.0,2920.0,0.0,50.0,110.0,98004.0,47.5814,-122.196,2370.0,8113.0
104,6197800045.0,14.0,3,1.0,1210,33919,1.0,0,0.0,3.0,7.0,1210.0,0.0,54.0,54.0,98058.0,47.4375,-122.184,1640.0,14910.0
105,1328310370.0,15.0,3,2.5,2340,10005,1.0,0,0.0,4.0,8.0,1460.0,880.0,78.0,78.0,98058.0,47.4431,-122.133,2250.0,8162.0
106,546000875.0,14.0,3,1.0,1670,4005,1.5,0,0.0,4.0,7.0,1170.0,500.0,39.0,39.0,98117.0,47.6878,-122.38,1240.0,4005.0
107,3530510041.0,14.0,2,1.75,1240,2493,1.0,0,0.0,4.0,8.0,1240.0,0.0,85.0,85.0,98198.0,47.3813,-122.322,1270.0,4966.0
108,1853000400.0,15.0,4,2.5,3140,28037,2.0,0,0.0,4.0,10.0,3140.0,0.0,91.0,91.0,98077.0,47.7304,-122.082,2990.0,35001.0
109,3134100116.0,14.0,5,1.75,2030,12342,2.0,0,0.0,4.0,7.0,2030.0,0.0,42.0,42.0,98052.0,47.6417,-122.109,2500.0,9433.0
110,9545230140.0,14.0,4,2.5,2310,9624,2.0,0,0.0,3.0,8.0,2310.0,0.0,84.0,84.0,98027.0,47.5386,-122.053,1940.0,9636.0
111,3362400511.0,15.0,3,1.75,1260,3328,1.0,0,0.0,5.0,6.0,700.0,560.0,5.0,5.0,98103.0,47.6823,-122.349,1380.0,3536.0
112,2525310310.0,14.0,3,1.75,1540,12600,1.0,0,0.0,4.0,7.0,1160.0,380.0,80.0,80.0,98038.0,47.3624,-122.031,1540.0,11656.0
116,3362400431.0,14.0,3,3.5,1590,1102,3.0,0,0.0,3.0,8.0,1590.0,0.0,110.0,110.0,98103.0,47.6824,-122.347,1620.0,3166.0
117,4060000240.0,14.0,2,1.0,880,6780,1.0,0,0.0,4.0,6.0,880.0,0.0,45.0,45.0,98178.0,47.5009,-122.248,1190.0,6780.0
118,3454800060.0,15.0,4,2.0,1570,9600,1.0,0,0.0,3.0,6.0,1570.0,0.0,50.0,50.0,98168.0,47.4965,-122.303,1880.0,9000.0
119,1695900060.0,15.0,4,1.0,1610,2982,1.5,0,0.0,4.0,7.0,1610.0,0.0,25.0,25.0,98144.0,47.587,-122.294,1610.0,4040.0
121,6675500070.0,14.0,3,2.0,1450,9132,1.0,0,0.0,3.0,7.0,1450.0,0.0,87.0,87.0,98034.0,47.7288,-122.226,1580.0,9104.0
122,3626039187.0,15.0,2,1.0,770,6000,1.0,0,0.0,3.0,6.0,770.0,0.0,53.0,53.0,98117.0,47.6999,-122.364,1710.0,6000.0
123,3524049083.0,14.0,4,1.75,2100,4400,1.5,0,0.0,5.0,7.0,1720.0,380.0,24.0,24.0,98118.0,47.5299,-122.266,1850.0,4400.0
124,3275860240.0,14.0,3,2.25,2910,10204,2.0,0,0.0,3.0,9.0,2910.0,0.0,90.0,90.0,98052.0,47.6897,-122.098,2700.0,13992.0
125,4389200955.0,15.0,4,2.75,2750,17789,1.5,0,0.0,3.0,8.0,1980.0,770.0,14.0,92.0,98004.0,47.6141,-122.212,3060.0,11275.0
127,8732020310.0,14.0,4,2.25,2160,8811,1.0,0,0.0,3.0,8.0,1360.0,800.0,78.0,78.0,98023.0,47.3129,-122.39,2090.0,8400.0
128,2331300505.0,14.0,5,3.5,2320,4960,2.0,0,0.0,5.0,7.0,1720.0,600.0,26.0,26.0,98103.0,47.6763,-122.352,1700.0,4960.0
129,7853210060.0,15.0,4,2.5,2070,4310,2.0,0,0.0,3.0,7.0,2070.0,0.0,104.0,104.0,98065.0,47.5319,-121.85,1970.0,3748.0
130,3668000070.0,15.0,3,1.75,1060,7875,1.0,0,0.0,4.0,7.0,1060.0,0.0,86.0,86.0,98092.0,47.2761,-122.152,1420.0,7680.0
131,9545240070.0,15.0,4,2.25,2010,9603,1.0,0,0.0,3.0,8.0,1440.0,570.0,86.0,86.0,98027.0,47.5343,-122.054,2060.0,9793.0
133,8929000270.0,14.0,3,2.5,2010,2287,2.0,0,0.0,3.0,8.0,1390.0,620.0,114.0,114.0,98029.0,47.5517,-121.998,1690.0,1662.0
134,2767602356.0,15.0,4,3.5,2140,2278,3.0,0,0.0,3.0,9.0,2140.0,0.0,105.0,105.0,98107.0,47.6734,-122.38,1540.0,2285.0
135,921049315.0,14.0,3,1.75,1320,17390,1.0,0,0.0,4.0,7.0,1320.0,0.0,56.0,56.0,98003.0,47.3257,-122.296,1550.0,19265.0
136,3655000070.0,14.0,4,1.75,2020,7840,1.0,0,0.0,3.0,7.0,1010.0,1010.0,68.0,68.0,98003.0,47.3309,-122.299,1750.0,8140.0
137,4027700812.0,14.0,4,2.25,2590,10002,1.0,0,0.0,4.0,8.0,1340.0,1250.0,68.0,68.0,98028.0,47.7689,-122.266,1550.0,10436.0
138,3992700335.0,14.0,2,1.0,1190,4440,1.0,0,0.0,3.0,6.0,1190.0,0.0,81.0,81.0,98125.0,47.7135,-122.287,1060.0,5715.0
139,2767603505.0,14.0,3,2.25,1170,1249,3.0,0,0.0,3.0,8.0,1170.0,0.0,114.0,114.0,98107.0,47.6722,-122.381,1350.0,1310.0
140,4232901525.0,14.0,2,1.0,1110,3200,1.0,0,0.0,3.0,7.0,1110.0,0.0,25.0,25.0,98119.0,47.6338,-122.358,1170.0,3600.0
141,1777500060.0,14.0,5,2.5,2820,9375,1.0,0,0.0,4.0,8.0,1550.0,1270.0,68.0,68.0,98006.0,47.5707,-122.128,2820.0,9375.0
142,1432900240.0,15.0,3,1.0,1610,8579,1.0,0,0.0,4.0,7.0,1010.0,600.0,62.0,62.0,98058.0,47.4563,-122.171,1610.0,8579.0
143,6140100875.0,15.0,3,1.0,1060,8097,1.0,0,0.0,4.0,7.0,940.0,120.0,23.0,23.0,98133.0,47.7144,-122.351,1560.0,7940.0
144,6071600370.0,15.0,4,2.25,2030,8517,1.0,0,0.0,4.0,8.0,1380.0,650.0,61.0,61.0,98006.0,47.5495,-122.174,2230.0,8824.0
146,809001525.0,14.0,4,1.0,2550,4000,2.0,0,0.0,3.0,8.0,2370.0,180.0,5.0,5.0,98109.0,47.6354,-122.353,2200.0,4000.0
148,8075400570.0,14.0,5,2.0,2260,12500,1.0,0,0.0,4.0,8.0,1130.0,1130.0,60.0,60.0,98032.0,47.3887,-122.286,1360.0,18000.0
149,1994200024.0,14.0,3,1.0,1430,3455,1.0,0,0.0,3.0,7.0,980.0,450.0,47.0,47.0,98103.0,47.6873,-122.336,1450.0,4599.0
150,3362900810.0,14.0,3,2.0,1360,3090,2.0,0,0.0,3.0,8.0,1360.0,0.0,90.0,90.0,98103.0,47.6838,-122.353,1500.0,3090.0
151,1324300398.0,15.0,3,1.0,1110,5000,1.5,0,0.0,3.0,7.0,1110.0,0.0,47.0,47.0,98107.0,47.655,-122.359,1420.0,5000.0
152,537000445.0,15.0,3,1.0,1250,8200,1.0,0,0.0,4.0,7.0,1250.0,0.0,54.0,54.0,98003.0,47.3255,-122.304,1680.0,8633.0
154,7920100045.0,14.0,1,1.0,700,5100,1.0,0,0.0,3.0,7.0,700.0,0.0,42.0,42.0,98115.0,47.679,-122.3,1010.0,5100.0
155,8960000030.0,14.0,3,1.0,1180,7669,1.0,0,0.0,4.0,7.0,1180.0,0.0,67.0,67.0,98058.0,47.4479,-122.176,1190.0,7669.0
157,8731900200.0,14.0,4,2.75,2640,7500,1.0,0,0.0,3.0,8.0,1620.0,1020.0,67.0,67.0,98023.0,47.3135,-122.369,1980.0,7875.0
158,8029200135.0,14.0,3,2.0,1270,7198,1.5,0,0.0,3.0,7.0,1270.0,0.0,16.0,113.0,98022.0,47.2086,-121.996,1160.0,7198.0
159,1081200350.0,14.0,4,1.75,1760,11180,1.0,0,0.0,4.0,8.0,1760.0,0.0,68.0,68.0,98059.0,47.4715,-122.118,1730.0,11180.0
160,84000105.0,14.0,5,2.25,2060,8632,1.0,0,0.0,3.0,7.0,1030.0,1030.0,62.0,62.0,98146.0,47.4877,-122.335,1010.0,11680.0
161,3756500060.0,15.0,3,1.75,1780,9660,1.0,0,0.0,3.0,7.0,1780.0,0.0,62.0,62.0,98034.0,47.7171,-122.193,1200.0,9660.0
162,7215720160.0,15.0,3,2.5,3400,16603,2.0,0,0.0,3.0,10.0,3400.0,0.0,100.0,100.0,98075.0,47.6012,-122.023,3400.0,12601.0
163,3574800520.0,14.0,3,2.75,1910,7280,1.0,0,0.0,3.0,7.0,1160.0,750.0,79.0,79.0,98034.0,47.7319,-122.224,1710.0,8152.0
164,2617300160.0,14.0,3,2.0,2020,38332,1.0,0,0.0,4.0,7.0,1010.0,1010.0,75.0,75.0,98027.0,47.4582,-122.023,2110.0,36590.0
165,2558660270.0,14.0,3,1.75,1580,7000,1.0,0,0.0,3.0,7.0,1180.0,400.0,76.0,76.0,98034.0,47.7209,-122.168,1640.0,7500.0
166,2009000370.0,15.0,2,1.75,1340,7250,1.0,0,0.0,5.0,5.0,700.0,640.0,49.0,49.0,98198.0,47.408,-122.327,1830.0,9750.0
167,1836980160.0,15.0,4,2.5,2680,4499,2.0,0,0.0,3.0,9.0,2680.0,0.0,99.0,99.0,98006.0,47.565,-122.125,2920.0,4500.0
168,3261020370.0,14.0,3,2.5,2680,9750,1.0,0,0.0,4.0,8.0,1610.0,1070.0,79.0,79.0,98034.0,47.7028,-122.231,2480.0,8750.0
169,1755700060.0,14.0,3,2.0,1370,8336,1.0,0,0.0,5.0,7.0,1370.0,0.0,64.0,64.0,98133.0,47.7458,-122.331,1770.0,7288.0
170,4330600435.0,15.0,3,1.75,1560,21000,1.0,0,0.0,3.0,7.0,1560.0,0.0,54.0,54.0,98166.0,47.4776,-122.337,1070.0,7920.0
171,9542800700.0,15.0,3,1.75,2160,7140,1.0,0,0.0,4.0,7.0,1670.0,490.0,78.0,78.0,98023.0,47.3026,-122.374,1930.0,7350.0
172,1999700045.0,14.0,3,1.5,1340,7912,1.5,0,0.0,3.0,7.0,1340.0,0.0,55.0,55.0,98133.0,47.7658,-122.339,1480.0,7940.0
173,1762600070.0,15.0,4,2.5,3880,35003,2.0,0,0.0,3.0,10.0,2570.0,1310.0,84.0,84.0,98033.0,47.6477,-122.182,3740.0,35230.0
174,1687900520.0,14.0,4,2.25,2590,8190,2.0,0,0.0,4.0,8.0,2590.0,0.0,80.0,80.0,98006.0,47.5619,-122.125,2260.0,8335.0
175,7234600798.0,15.0,3,2.5,1120,1100,2.0,0,0.0,3.0,8.0,820.0,300.0,108.0,108.0,98122.0,47.6106,-122.31,1590.0,1795.0
176,3881900445.0,14.0,5,2.75,1970,5400,1.0,0,0.0,3.0,7.0,1320.0,650.0,86.0,86.0,98144.0,47.5868,-122.308,1280.0,2150.0
177,2254502445.0,14.0,3,1.0,1220,4800,1.0,0,0.0,3.0,6.0,1220.0,0.0,1.0,1.0,98122.0,47.6101,-122.307,1200.0,4800.0
179,9158100075.0,15.0,2,1.0,1350,8220,1.0,0,0.0,3.0,7.0,1060.0,290.0,49.0,49.0,98177.0,47.7224,-122.358,1540.0,8280.0
180,3830630310.0,14.0,3,2.5,1670,5797,2.0,0,0.0,3.0,7.0,1670.0,0.0,88.0,88.0,98030.0,47.3505,-122.179,1670.0,6183.0
181,8123100045.0,15.0,4,3.0,2380,5125,1.5,0,0.0,4.0,7.0,1680.0,700.0,25.0,25.0,98126.0,47.5384,-122.376,1410.0,5375.0
182,3127200041.0,14.0,4,3.0,2440,9600,2.0,0,0.0,5.0,7.0,2440.0,0.0,61.0,61.0,98034.0,47.7044,-122.2,2290.0,9600.0
183,6661200320.0,14.0,2,1.5,1050,3419,2.0,0,0.0,3.0,7.0,1050.0,0.0,96.0,96.0,98038.0,47.3848,-122.039,1050.0,3417.0
184,11510310.0,14.0,4,2.75,3130,13412,2.0,0,0.0,3.0,9.0,2140.0,990.0,93.0,93.0,98052.0,47.6993,-122.102,2260.0,9984.0
186,8731951370.0,15.0,4,1.75,1490,10000,1.0,0,0.0,4.0,8.0,1100.0,390.0,69.0,69.0,98023.0,47.3099,-122.379,2190.0,8910.0
187,1954440060.0,14.0,3,2.5,1900,8744,2.0,0,0.0,3.0,8.0,1900.0,0.0,87.0,87.0,98074.0,47.62,-122.043,2030.0,8744.0
188,2264500350.0,15.0,4,1.0,1330,2400,1.5,0,0.0,4.0,6.0,1330.0,0.0,1.0,1.0,98103.0,47.65,-122.34,1330.0,4400.0
